# interval=15s tz=+02:00
timestamp	lawn_mower	battery	progression	zone	current_mow_progress	area_session	action	boundary_id
12:05:04	mowing	89	19	#1	3000	71.6	5	1
12:05:19	mowing	89	19	#1	3000	71.6	5	1
12:05:34	mowing	89	20	#1	3100	73.93	5	1
12:05:49	mowing	89	20	#1	3100	73.93	5	1
12:06:04	mowing	87	20	#1	3100	73.93	5	1
12:06:19	mowing	87	20	#1	3100	73.93	5	1
12:06:34	mowing	87	20	#1	3100	73.93	5	1
12:06:50	mowing	87	20	#1	3100	73.93	5	1
12:07:05	mowing	87	20	#1	3201	75.85	5	1
12:07:20	mowing	87	20	#1	3201	75.85	5	1
12:07:35	mowing	86	20	#1	3201	75.85	5	1
12:07:50	mowing	86	20	#1	3201	75.85	5	1
12:08:05	mowing	86	20	#1	3201	75.85	5	1
12:08:20	mowing	86	21	#1	3319	79.04	5	1
12:08:35	mowing	86	21	#1	3319	79.04	5	1
12:08:50	mowing	85	21	#1	3319	79.04	5	1
12:09:05	mowing	85	21	#1	3319	79.04	5	1
12:09:20	mowing	85	22	#1	3402	81.02	5	1
12:09:35	mowing	85	22	#1	3402	81.02	5	1
12:09:50	mowing	85	22	#1	3402	81.02	5	1
12:10:05	mowing	85	22	#1	3402	81.02	5	1
12:10:21	mowing	84	22	#1	3402	81.02	5	1
12:10:36	mowing	84	22	#1	3402	81.02	5	1
12:10:51	mowing	84	22	#1	3500	83.37	-1	1
12:11:06	mowing	84	22	#1	3500	83.37	-1	1
12:11:21	mowing	83	22	#1	3500	83.37	-1	1
12:11:36	mowing	83	22	#1	3500	83.37	-1	1
12:11:51	mowing	83	22	#1	3500	83.37	-1	1
12:12:06	mowing	83	22	#1	3500	83.37	-1	1
12:12:21	mowing	83	23	#1	3606	85.82	-1	1
12:12:36	mowing	83	23	#1	3606	85.82	-1	1
12:12:51	mowing	82	23	#1	3606	85.82	-1	1
12:13:06	mowing	82	23	#1	3606	85.82	-1	1
12:13:21	mowing	82	24	#1	3721	88.57	5	1
12:13:37	mowing	82	24	#1	3721	88.57	5	1
12:13:52	mowing	82	24	#1	3804	90.43	5	1
12:14:07	mowing	82	24	#1	3804	90.43	5	1
12:14:22	mowing	81	24	#1	3804	90.43	5	1
12:14:37	mowing	81	24	#1	3804	90.43	5	1
12:14:52	mowing	81	24	#1	3804	90.43	5	1
12:15:07	mowing	81	25	#1	3902	92.85	-1	1
12:15:22	mowing	81	25	#1	3902	92.85	-1	1
12:15:37	mowing	80	25	#1	3902	92.85	-1	1
12:15:52	mowing	80	25	#1	3902	92.85	-1	1
12:16:07	mowing	80	25	#1	3902	92.85	-1	1
12:16:22	mowing	80	25	#1	3902	92.85	-1	1
12:16:37	mowing	79	25	#1	3902	92.85	-1	1
12:16:53	mowing	79	26	#1	4009	95.09	-1	1
12:17:08	mowing	79	26	#1	4009	95.09	-1	1
12:17:23	mowing	79	26	#1	4009	95.09	-1	1
12:17:38	mowing	79	26	#1	4009	95.09	-1	1
12:17:53	mowing	79	26	#1	4100	96.52	5	1
12:18:08	mowing	79	26	#1	4100	96.52	5	1
12:18:23	mowing	78	26	#1	4100	96.52	5	1
12:18:38	mowing	78	26	#1	4100	96.52	5	1
12:18:53	mowing	78	26	#1	4100	96.52	5	1
12:19:08	mowing	78	26	#1	4100	96.52	5	1
12:19:23	mowing	78	27	#1	4201	98.91	-1	1
12:19:38	mowing	77	27	#1	4201	98.91	-1	1
12:19:53	mowing	77	27	#1	4201	98.91	-1	1
12:20:09	mowing	77	27	#1	4201	98.91	-1	1
12:20:24	mowing	77	27	#1	4201	98.91	-1	1
12:20:39	mowing	76	27	#1	4201	98.91	-1	1
12:20:54	mowing	76	28	#1	4309	101.16	-1	1
12:21:09	mowing	76	28	#1	4309	101.16	-1	1
12:21:24	mowing	76	28	#1	4309	101.16	-1	1
12:21:39	mowing	76	28	#1	4309	101.16	-1	1
12:21:54	mowing	75	28	#1	4309	101.16	-1	1
12:22:09	mowing	75	28	#1	4404	102.78	-1	1
12:22:24	mowing	75	28	#1	4404	102.78	-1	1
12:22:39	mowing	75	28	#1	4404	102.78	-1	1
12:22:54	mowing	75	28	#1	4404	102.78	-1	1
12:23:09	mowing	75	28	#1	4404	102.78	-1	1
12:23:24	mowing	75	29	#1	4500	104.99	-1	1
12:23:40	mowing	75	29	#1	4500	104.99	-1	1
12:23:55	mowing	75	29	#1	4500	104.99	-1	1
12:24:10	mowing	75	29	#1	4500	104.99	-1	1
12:24:25	mowing	74	29	#1	4500	104.99	-1	1
12:24:40	mowing	74	29	#1	4500	104.99	-1	1
12:24:55	mowing	74	29	#1	4500	104.99	-1	1
12:25:10	mowing	74	29	#1	4500	104.99	-1	1
12:25:25	mowing	74	29	#1	4500	104.99	-1	1
12:25:40	mowing	74	29	#1	4500	104.99	-1	1
12:25:55	mowing	72	29	#1	4500	104.99	-1	1
12:26:10	mowing	72	29	#1	4500	104.99	-1	1
12:26:25	mowing	72	29	#1	4500	104.99	-1	1
12:26:40	mowing	72	29	#1	4602	107.75	-1	1
12:26:56	mowing	72	29	#1	4602	107.75	-1	1
12:27:11	mowing	72	29	#1	4602	107.75	-1	1
12:27:26	mowing	72	29	#1	4602	107.75	-1	1
12:27:41	mowing	72	29	#1	4602	107.75	-1	1
12:27:56	mowing	72	29	#1	4602	107.75	-1	1
12:28:11	mowing	71	29	#1	4602	107.75	-1	1
12:28:26	mowing	71	30	#1	4705	109.78	-1	1
12:28:41	mowing	71	30	#1	4705	109.78	-1	1
12:28:56	mowing	71	30	#1	4705	109.78	-1	1
12:29:11	mowing	71	30	#1	4705	109.78	-1	1
12:29:26	mowing	70	30	#1	4705	109.78	-1	1
12:29:41	returning	69	30	#1	4705	109.78	-1	1
12:29:56	returning	69	30	#1	4705	109.78	-1	1
12:30:11	returning	69	30	#1	4705	109.78	-1	1
12:30:27	returning	69	30	#1	4705	109.78	-1	1
12:30:42	returning	69	30	#1	4705	109.78	-1	1
12:30:57	returning	69	30	#1	4705	109.78	-1	1
12:31:12	returning	69	30	#1	4705	109.78	-1	1
12:31:27	docked	68	30	#1	4705	109.78	-1	1
12:31:42	docked	68	30	#1	4705	109.78	-1	1
12:31:57	docked	68	30	#1	4705	109.78	-1	1
12:32:12	docked	68	30	#1	4705	109.78	-1	1
12:32:27	docked	68	30	#1	4705	109.78	-1	1
12:32:42	docked	68	30	#1	4705	109.78	-1	1
12:32:57	docked	68	30	#1	4705	109.78	-1	1
12:33:12	docked	68	30	#1	4705	109.78	-1	1
12:33:27	docked	69	30	#1	4705	109.78	-1	1
12:33:43	docked	69	30	#1	4705	109.78	-1	1
12:33:58	docked	69	30	#1	4705	109.78	-1	1
12:34:13	docked	69	30	#1	4705	109.78	-1	1
12:34:28	docked	69	30	#1	4705	109.78	-1	1
12:34:43	docked	69	30	#1	4705	109.78	-1	1
12:34:58	docked	69	30	#1	4705	109.78	-1	1
12:35:13	docked	69	30	#1	4705	109.78	-1	1
12:35:28	docked	69	30	#1	4705	109.78	-1	1
12:35:43	docked	69	30	#1	4705	109.78	-1	1
12:35:58	docked	70	30	#1	4705	109.78	-1	1
12:36:13	docked	70	30	#1	4705	109.78	-1	1
12:36:28	docked	70	30	#1	4705	109.78	-1	1
12:36:43	docked	70	30	#1	4705	109.78	-1	1
12:36:58	docked	70	30	#1	4705	109.78	-1	1
12:37:14	docked	70	30	#1	4705	109.78	-1	1
12:37:29	docked	72	30	#1	4705	109.78	-1	1
12:37:44	docked	72	30	#1	4705	109.78	-1	1
12:37:59	docked	72	30	#1	4705	109.78	-1	1
12:38:14	docked	72	30	#1	4705	109.78	-1	1
12:38:29	docked	68	30	#1	4705	109.78	-1	1
12:38:44	docked	68	30	#1	4705	109.78	-1	1
12:38:59	docked	68	30	#1	4705	109.78	-1	1
12:39:14	docked	68	30	#1	4705	109.78	-1	1
12:39:29	docked	68	30	#1	4705	109.78	-1	1
12:39:44	docked	68	30	#1	4705	109.78	-1	1
12:39:59	docked	74	30	#1	4705	109.78	-1	1
12:40:14	docked	74	30	#1	4705	109.78	-1	1
12:40:30	docked	74	30	#1	4705	109.78	-1	1
12:40:45	docked	74	30	#1	4705	109.78	-1	1
12:41:00	docked	75	30	#1	4705	109.78	-1	1
12:41:15	docked	75	30	#1	4705	109.78	-1	1
12:41:30	docked	75	30	#1	4705	109.78	-1	1
12:41:45	docked	75	30	#1	4705	109.78	-1	1
12:42:00	docked	75	30	#1	4705	109.78	-1	1
12:42:15	docked	75	30	#1	4705	109.78	-1	1
12:42:30	docked	76	30	#1	4705	109.78	-1	1
12:42:45	docked	76	30	#1	4705	109.78	-1	1
12:43:00	docked	76	30	#1	4705	109.78	-1	1
12:43:15	docked	76	30	#1	4705	109.78	-1	1
12:43:30	docked	77	30	#1	4705	109.78	-1	1
12:43:46	docked	77	30	#1	4705	109.78	-1	1
12:44:01	docked	77	30	#1	4705	109.78	-1	1
12:44:16	docked	77	30	#1	4705	109.78	-1	1
12:44:31	docked	77	30	#1	4705	109.78	-1	1
12:44:46	docked	77	30	#1	4705	109.78	-1	1
12:45:01	docked	79	30	#1	4705	109.78	-1	1
12:45:16	docked	79	30	#1	4705	109.78	-1	1
12:45:31	docked	79	30	#1	4705	109.78	-1	1
12:45:46	docked	79	30	#1	4705	109.78	-1	1
12:46:01	docked	79	30	#1	4705	109.78	-1	1
12:46:16	docked	79	30	#1	4705	109.78	-1	1
12:46:31	docked	80	30	#1	4705	109.78	-1	1
12:46:46	docked	80	30	#1	4705	109.78	-1	1
12:47:02	docked	80	30	#1	4705	109.78	-1	1
12:47:17	docked	80	30	#1	4705	109.78	-1	1
12:47:32	docked	81	30	#1	4705	109.78	-1	1
12:47:47	docked	81	30	#1	4705	109.78	-1	1
12:48:02	docked	81	30	#1	4705	109.78	-1	1
12:48:17	docked	81	30	#1	4705	109.78	-1	1
12:48:32	docked	81	30	#1	4705	109.78	-1	1
12:48:47	docked	81	30	#1	4705	109.78	-1	1
12:49:02	docked	82	30	#1	4705	109.78	-1	1
12:49:17	docked	82	30	#1	4705	109.78	-1	1
12:49:32	docked	82	30	#1	4705	109.78	-1	1
12:49:47	docked	82	30	#1	4705	109.78	-1	1
12:50:02	docked	82	30	#1	4705	109.78	-1	1
12:50:18	docked	82	30	#1	4705	109.78	-1	1
12:50:33	docked	84	30	#1	4705	109.78	-1	1
12:50:48	docked	84	30	#1	4705	109.78	-1	1
12:51:03	docked	84	30	#1	4705	109.78	-1	1
12:51:18	docked	84	30	#1	4705	109.78	-1	1
12:51:33	docked	84	30	#1	4705	109.78	-1	1
12:51:48	docked	84	30	#1	4705	109.78	-1	1
12:52:03	docked	85	30	#1	4705	109.78	-1	1
12:52:18	docked	85	30	#1	4705	109.78	-1	1
12:52:33	docked	85	30	#1	4705	109.78	-1	1
12:52:48	docked	85	30	#1	4705	109.78	-1	1
12:53:03	docked	85	30	#1	4705	109.78	-1	1
12:53:18	docked	85	30	#1	4705	109.78	-1	1
12:53:34	docked	87	30	#1	4705	109.78	-1	1
12:53:49	docked	87	30	#1	4705	109.78	-1	1
12:54:04	docked	87	30	#1	4705	109.78	-1	1
12:54:19	docked	87	30	#1	4705	109.78	-1	1
12:54:34	docked	87	30	#1	4705	109.78	-1	1
12:54:49	docked	87	30	#1	4705	109.78	-1	1
12:55:04	docked	88	30	#1	4705	109.78	-1	1
12:55:19	docked	88	30	#1	4705	109.78	-1	1
12:55:34	docked	88	30	#1	4705	109.78	-1	1
12:55:49	docked	88	30	#1	4705	109.78	-1	1
12:56:04	docked	88	30	#1	4705	109.78	-1	1
12:56:19	docked	88	30	#1	4705	109.78	-1	1
12:56:34	docked	90	30	#1	4705	109.78	-1	1
12:56:49	docked	90	30	#1	4705	109.78	-1	1
12:57:05	docked	90	30	#1	4705	109.78	-1	1
12:57:20	docked	90	30	#1	4705	109.78	-1	1
12:57:35	docked	91	30	#1	4705	109.78	-1	1
12:57:50	docked	91	30	#1	4705	109.78	-1	1
12:58:05	docked	91	30	#1	4705	109.78	-1	1
12:58:20	docked	91	30	#1	4705	109.78	-1	1
12:58:35	docked	91	30	#1	4705	109.78	-1	1
12:58:50	docked	91	30	#1	4705	109.78	-1	1
12:59:05	docked	93	30	#1	4705	109.78	-1	1
12:59:20	docked	93	30	#1	4705	109.78	-1	1
12:59:35	docked	93	30	#1	4705	109.78	-1	1
12:59:50	docked	93	30	#1	4705	109.78	-1	1
13:00:05	docked	93	30	#1	4705	109.78	-1	1
13:00:21	docked	93	30	#1	4705	109.78	-1	1
13:00:36	docked	93	30	#1	4705	109.78	-1	1
13:00:51	docked	93	30	#1	4705	109.78	-1	1
13:01:06	docked	93	30	#1	4705	109.78	-1	1
13:01:21	docked	93	30	#1	4705	109.78	-1	1
13:01:36	docked	94	30	#1	4705	109.78	-1	1
13:01:51	docked	94	30	#1	4705	109.78	-1	1
13:02:06	docked	94	30	#1	4705	109.78	-1	1
