# interval=change tz=+02:00
timestamp	entity	state
10:37:51	surface_hebdomadaire	151.8
10:38:20	i210_batterie	54
10:39:11	i210_progression	66
10:39:11	surface_hebdomadaire	153.67
10:40:10	i210_batterie	53
10:40:31	i210_progression	67
10:40:31	surface_hebdomadaire	155.51
10:41:30	i210_batterie	52
10:42:11	i210_progression	68
10:42:11	surface_hebdomadaire	158.17
10:42:40	i210_batterie	51
10:43:40	i210_batterie	50
10:44:01	i210_progression	69
10:44:01	surface_hebdomadaire	160.63
10:45:00	i210_batterie	49
10:45:38	i210_progression	70
10:45:38	surface_hebdomadaire	162.86
10:46:07	i210_batterie	48
10:47:09	surface_hebdomadaire	164.63
10:47:38	i210_batterie	47
10:48:38	i210_batterie	46
10:50:08	i210_batterie	45
10:51:31	i210_progression	72
10:51:31	surface_hebdomadaire	167.99
10:52:30	i210_batterie	44
10:52:31	i210_progression	73
10:52:31	surface_hebdomadaire	170.0
10:53:21	i210_progression	74
10:53:21	surface_hebdomadaire	172.26
10:53:50	i210_batterie	42
10:53:59	i210_progression	75
10:53:59	surface_hebdomadaire	173.83
10:54:58	i210_batterie	41
10:55:01	i210_progression	76
10:55:01	surface_hebdomadaire	176.38
10:55:47	i210_progression	77
10:55:47	surface_hebdomadaire	178.38
10:56:16	i210_batterie	40
10:56:51	i210_progression	78
10:56:51	surface_hebdomadaire	181.0
10:57:20	i210_batterie	39
10:57:41	i210_progression	79
10:57:41	surface_hebdomadaire	182.79
10:58:40	i210_batterie	38
10:58:41	i210_progression	80
10:58:41	surface_hebdomadaire	185.63
10:59:41	i210_progression	81
10:59:41	surface_hebdomadaire	187.93
11:00:10	i210_batterie	37
11:00:21	i210_progression	82
11:00:21	surface_hebdomadaire	189.77
11:01:20	i210_batterie	36
11:01:21	i210_progression	83
11:01:21	surface_hebdomadaire	192.02
11:02:31	i210_progression	84
11:02:31	surface_hebdomadaire	194.82
11:03:00	i210_batterie	34
11:03:20	i210_progression	85
11:03:20	surface_hebdomadaire	197.2
11:04:11	i210_progression	86
11:04:11	surface_hebdomadaire	199.19
11:04:40	i210_batterie	33
11:04:51	i210_progression	87
11:04:51	surface_hebdomadaire	201.07
11:05:41	i210_progression	88
11:05:41	surface_hebdomadaire	202.91
11:06:10	i210_batterie	31
11:06:37	i210_progression	89
11:06:37	surface_hebdomadaire	205.13
11:07:31	i210_progression	90
11:07:31	surface_hebdomadaire	207.6
11:08:00	i210_batterie	30
11:08:31	i210_progression	91
11:08:31	surface_hebdomadaire	210.08
11:09:30	i210_batterie	28
11:09:41	i210_progression	92
11:09:41	surface_hebdomadaire	211.7
11:10:40	i210_batterie	27
11:11:59	i210_progression	93
11:11:59	surface_hebdomadaire	214.32
11:12:58	i210_batterie	26
11:13:58	i210_batterie	25
11:14:01	i210_progression	94
11:14:01	surface_hebdomadaire	216.54
11:15:00	i210_batterie	24
11:15:51	i210_progression	95
11:15:51	surface_hebdomadaire	219.32
11:16:20	i210_batterie	23
11:17:19	i210_progression	96
11:17:19	surface_hebdomadaire	221.75
11:17:48	i210_batterie	22
11:18:31	i210_progression	97
11:18:31	surface_hebdomadaire	223.78
11:19:58	i210_progression	98
11:19:58	surface_hebdomadaire	226.3
11:20:27	i210_batterie	20
11:21:27	i210_batterie	19
11:21:51	i210_progression	99
11:21:51	surface_hebdomadaire	228.41
11:22:50	i210_batterie	18
11:23:50	i210_batterie	17
11:24:44	i210_progression	100
11:24:44	surface_hebdomadaire	230.72
11:24:45	lawn_mower	returning
11:25:41	i210_en_charge	on
11:25:41	lawn_mower	docked
11:25:43	i210_en_charge	off
11:25:44	i210_en_charge	on
11:27:44	i210_batterie	18
