# interval=event tz=+02:00
timestamp	battery
03:00:00	100
03:18:18	48
03:18:18	100
03:18:48	48
03:20:18	100
03:58:19	48
04:00:18	100
04:38:18	48
04:40:18	100
05:18:19	48
05:20:18	100
05:58:19	48
05:59:49	100
06:38:19	48
06:40:18	100
07:18:19	48
07:20:18	100
07:40:23	99
07:41:53	97
07:43:23	96
07:45:03	95
07:46:23	94
07:47:23	93
07:49:05	92
07:50:23	91
07:51:23	90
07:53:23	88
07:54:23	87
07:56:03	86
07:57:13	85
07:58:19	100
08:00:04	83
08:01:23	82
08:02:43	81
08:04:33	79
08:06:02	78
08:07:33	77
08:09:03	76
08:10:39	74
08:11:43	73
08:13:33	72
08:15:13	70
08:16:23	69
08:17:58	68
08:20:00	66
08:21:29	65
08:22:33	64
08:24:43	63
08:26:13	62
08:27:40	61
08:28:43	60
08:30:42	59
08:32:03	58
08:33:33	57
08:35:23	55
08:37:43	54
08:38:19	100
08:40:35	51
08:42:41	50
08:43:47	49
08:45:03	48
08:46:53	47
08:48:23	45
08:49:53	44
08:51:33	43
08:52:38	42
08:54:03	41
08:55:43	39
08:57:03	38
08:58:36	37
